acc	CpC	CpG	CpU	CpA	GpC	GpG	GpU	GpA	UpC	UpG	UpU	UpA	ApC	ApG	ApU	ApA
KC505248.1	1.0829642574352483	0.8866294818401511	0.8993524969319768	1.1508926542950155	0.9696472235854836	0.9312261102599892	0.9179147451253474	1.174209296460441	0.8656019617270241	1.300498184773237	1.2068175542590043	0.589038056989142	1.0910824848592116	0.8901053823334973	0.9801717932438369	1.065522740392771
AF160193.1	1.1036550862374745	0.4105743332906042	1.264290084647077	1.2810686896898733	0.9125790853392002	1.0423599490356221	0.8299057835227444	1.171151510763857	1.0300887816826265	1.4205594492731657	1.0614839512804366	0.5052854713965713	0.9835856248357148	1.0364172661627054	0.9181588506793154	1.0459982939447559
GQ165809.2	1.119422180737322	0.8287643759051583	0.9313134250990047	1.1382369206665792	0.9074329590484737	1.019418104223347	0.8789034542625913	1.171658323619923	0.9707910654692902	1.2374610823697183	1.2080257756709576	0.5934064540330236	1.0245880729809762	0.8833593664140508	0.9667231903730479	1.123818501385237
KJ469371.1	1.1204948657514884	0.3544841480744718	1.2267097135942997	1.33071389474499	0.9386898669681544	1.0308499310432355	0.8466119654512081	1.1457446199107808	0.9897555296008709	1.4256492461695094	1.0808380692809325	0.5331102391142447	0.9905595003017482	1.0031574590628531	0.9286005418155391	1.0670159162191297
KJ469370.1	1.166688085845746	0.33097657101559547	1.3138407905183576	1.24586654201143	0.8637681243577734	1.0773629594571141	0.836662772711734	1.1598642815668658	0.9991104403781079	1.4046468180800993	1.0796752197476018	0.5456910584196927	1.0261201427302729	0.9785174232111343	0.8870774935180028	1.1053448733569329
KJ469372.1	1.2363660242889292	0.36019759026803966	1.2261276277984472	1.2532716612024462	0.8515654012695273	1.068703669287974	0.8551070057465253	1.1570172546210669	0.9787697063643257	1.3695393804036349	1.098574827792952	0.5744209873258179	1.017546583860293	0.9818261888342168	0.9100377439656218	1.0892372099002028
AF144692.1	1.0695042002946014	0.34867328602622855	1.2009453887699846	1.320941956575561	0.8879257594456752	1.0721231244370655	0.8596194013425413	1.1304810888552257	1.0800310919484333	1.486828704575141	1.0362166803314328	0.5189067789019798	0.981322238376161	0.906983678184997	0.9640353427941994	1.1186001034167605
JQ268258.1	1.0837342586035823	0.7662173013168445	0.9082260228537395	1.2570195422760853	0.801297129569905	1.0334269305882027	0.9297045641455872	1.1848525325550996	1.104299257930107	1.2790480973396865	1.107845698908007	0.5430905918438244	1.0306111232782313	0.8689838131661384	1.0322866974741394	1.0730575787301182
DQ859057.1	1.0598830698326938	0.41369327568745234	1.1531390409132278	1.3819653703936947	0.9015065966022399	1.093130583283226	0.9134517392681369	1.053044624522531	1.0661478501074932	1.3971371220403275	0.9901804698620172	0.5890917929632012	0.9958516464187392	1.0265608674986109	0.9768858878284241	0.9969663199671194
DQ859062.1	1.1290539606333714	0.3631717826843704	1.2439724676575719	1.3073824535654301	0.9361369738126247	1.0894711456848336	0.8334159577775371	1.1006763685603562	1.035642134909766	1.443977099006502	1.06837611949614	0.4964943499372021	0.937904803644765	1.0051315449006033	0.9249559463844669	1.1017720721204518
DQ859066.1	1.0011828198442625	0.42217156624488966	1.2622210071249673	1.3324174448040051	0.9541763854965799	1.0566547331681035	0.8851021212501254	1.0700958975147126	1.091210419062875	1.4512485231308363	0.9705269628814965	0.5357547256355044	0.9704867446529174	1.0148975159313043	0.9390589774333424	1.0559499079332113
DQ859067.1	1.1084295562119941	0.34773226722378636	1.277336105393748	1.3072249545460364	0.9461141889946675	1.0874911052820686	0.8263997458940548	1.101184057686691	1.023070140840447	1.482928432909887	1.0588440331951103	0.47849776111079234	0.9537406556126693	0.986477385010994	0.9150727576529655	1.1160442341330852
DQ859056.1	0.9922181925675304	0.4520182700222436	1.1932131908297983	1.4140774486469128	0.9432742370950292	1.0666538703069293	0.8840442949650502	1.0726987497320501	1.1358281451680003	1.4619531096948533	1.0102112307744031	0.40460082844883233	0.9540568353413877	0.9998217190589549	0.9542776511621861	1.0740776262675902
DQ859065.1	1.1241102498084032	0.399074219427167	1.1270526571079296	1.3584636174989817	0.9384622055022419	1.1198015909699321	0.8473313798228264	1.058328514053517	1.0558489693845043	1.4307398708483787	1.0562489854006272	0.5232497573096234	0.9250174021356147	0.9550154924435309	1.005708538915002	1.0873674793816397
DQ859060.1	1.1390059042194527	0.3657716057389641	1.08984570795849	1.4641480259423756	0.8911200394718882	1.0461871681888704	0.899403278697704	1.1122352768657966	1.0024021188659302	1.4220099992251016	1.0389295310046267	0.544766108198033	1.0130901988794432	1.0286358933105244	1.0073849461122355	0.9555049401338462
DQ235146.1	1.0938386210687923	0.5009830669370747	1.1748655843049902	1.3803943988889016	0.9029345973865883	1.0273359859144002	0.9160671936669038	1.1200863870427045	1.0378671239443376	1.4007893622843521	0.962291400022555	0.5110089018101025	1.0068340589834	1.0471447790564796	0.9867758103919221	0.9483307386556936
DQ235151.1	1.000682349339161	0.563786214882204	1.33597233269086	1.2996820473587911	0.9143199607782315	1.0317501671591043	0.8717505345802578	1.143133566679325	1.0163617267839558	1.4215560993914151	0.9635565849791705	0.4563826039863341	1.099866984295467	1.0077143287909522	0.8932616778877823	0.9857127514984282
DQ235152.1	1.0371150415286268	0.5293130874756555	1.3248135823203586	1.3171056071157514	0.9039654239508677	1.0265471048541772	0.8462967357346626	1.1863343091479206	0.9899705889866417	1.4389942783981506	0.9946166137913792	0.4267510622252814	1.1029420937635968	1.0271615716521827	0.9078158960065078	0.9454730689958056
DQ235153.1	1.0216144529894227	0.5590963711458102	1.3080431636536467	1.3076816269524845	0.9282604822373021	1.0327006651311192	0.8569514885655068	1.1412482627512415	0.9906190083044719	1.4169832503896205	1.0020162491409856	0.45636828470459145	1.0832551855700987	1.0132236178913265	0.9069105913065711	0.9826390663897673
DQ235145.1	1.0873438494183851	0.5362882148508359	1.2178856061350254	1.3037477652437026	0.8718428520759398	1.0536240350365815	0.8335591233971864	1.1740774036594663	0.9982312378856726	1.4167610795240373	1.021065116226785	0.489703447661753	1.0849742657553323	0.9622227108620425	1.008617276412102	0.9696355371441645
