file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
BlackFly45.R1.fastq.gz	FASTQ	DNA	6133362	926137662	151	151.0	151
BlackFly45.R2.fastq.gz	FASTQ	DNA	6133362	926137662	151	151.0	151
BlackFly46.R1.fastq.gz	FASTQ	DNA	5273191	796251841	151	151.0	151
BlackFly46.R2.fastq.gz	FASTQ	DNA	5273191	796251841	151	151.0	151
BlackFly47.R1.fastq.gz	FASTQ	DNA	4790411	723352061	151	151.0	151
BlackFly47.R2.fastq.gz	FASTQ	DNA	4790411	723352061	151	151.0	151
BlackFly48.R1.fastq.gz	FASTQ	DNA	5510682	832112982	151	151.0	151
BlackFly48.R2.fastq.gz	FASTQ	DNA	5510682	832112982	151	151.0	151
BlackFly49.R1.fastq.gz	FASTQ	DNA	4594600	693784600	151	151.0	151
BlackFly49.R2.fastq.gz	FASTQ	DNA	4594600	693784600	151	151.0	151
BlackFly4.R1.fastq.gz	FASTQ	DNA	5309369	801714719	151	151.0	151
BlackFly4.R2.fastq.gz	FASTQ	DNA	5309369	801714719	151	151.0	151
BlackFly50.R1.fastq.gz	FASTQ	DNA	6932158	1046755858	151	151.0	151
BlackFly50.R2.fastq.gz	FASTQ	DNA	6932158	1046755858	151	151.0	151
BlackFly51.R1.fastq.gz	FASTQ	DNA	4394088	663507288	151	151.0	151
BlackFly51.R2.fastq.gz	FASTQ	DNA	4394088	663507288	151	151.0	151
BlackFly52.R1.fastq.gz	FASTQ	DNA	6239791	942208441	151	151.0	151
BlackFly52.R2.fastq.gz	FASTQ	DNA	6239791	942208441	151	151.0	151
BlackFly53.R1.fastq.gz	FASTQ	DNA	8155024	1231408624	151	151.0	151
BlackFly53.R2.fastq.gz	FASTQ	DNA	8155024	1231408624	151	151.0	151
BlackFly55.R1.fastq.gz	FASTQ	DNA	4261224	643444824	151	151.0	151
BlackFly55.R2.fastq.gz	FASTQ	DNA	4261224	643444824	151	151.0	151
BlackFly57.R1.fastq.gz	FASTQ	DNA	4843522	731371822	151	151.0	151
BlackFly57.R2.fastq.gz	FASTQ	DNA	4843522	731371822	151	151.0	151
BlackFly58.R1.fastq.gz	FASTQ	DNA	4709380	711116380	151	151.0	151
BlackFly58.R2.fastq.gz	FASTQ	DNA	4709380	711116380	151	151.0	151
BlackFly59.R1.fastq.gz	FASTQ	DNA	3854715	582061965	151	151.0	151
BlackFly59.R2.fastq.gz	FASTQ	DNA	3854715	582061965	151	151.0	151
BlackFly5.R1.fastq.gz	FASTQ	DNA	8075160	1219349160	151	151.0	151
BlackFly5.R2.fastq.gz	FASTQ	DNA	8075160	1219349160	151	151.0	151
BlackFly6.R1.fastq.gz	FASTQ	DNA	6323576	954859976	151	151.0	151
BlackFly6.R2.fastq.gz	FASTQ	DNA	6323576	954859976	151	151.0	151
BlackFly7.R1.fastq.gz	FASTQ	DNA	4987567	753122617	151	151.0	151
BlackFly7.R2.fastq.gz	FASTQ	DNA	4987567	753122617	151	151.0	151
BlackFly8.R1.fastq.gz	FASTQ	DNA	4984556	752667956	151	151.0	151
BlackFly8.R2.fastq.gz	FASTQ	DNA	4984556	752667956	151	151.0	151
BlackFly9.R1.fastq.gz	FASTQ	DNA	6930550	1046513050	151	151.0	151
BlackFly9.R2.fastq.gz	FASTQ	DNA	6930550	1046513050	151	151.0	151
