0.31	31820	0	D	2759	Eukaryota	BlackFly30
0.02	2383	1	D	2157	Archaea	BlackFly30
2.84	295146	2	D	10239	Viruses	BlackFly30
62.27	6734845	6734845	U	0	unclassified	BlackFly31
20.33	2198305	1	D	10239	Viruses	BlackFly31
15.20	1643574	136100	D	2	Bacteria	BlackFly31
2.03	219409	0	D	2759	Eukaryota	BlackFly31
0.03	2790	28	D	2157	Archaea	BlackFly31
73.67	5438679	5438679	U	0	unclassified	BlackFly32
24.86	1834803	180320	D	2	Bacteria	BlackFly32
1.13	83051	0	D	2759	Eukaryota	BlackFly32
0.05	4022	0	D	2157	Archaea	BlackFly32
0.07	5372	1	D	10239	Viruses	BlackFly32
41.64	1272760	1272760	U	0	unclassified	BlackFly33
50.18	1534008	464557	D	2	Bacteria	BlackFly33
3.81	116350	392	D	2759	Eukaryota	BlackFly33
0.23	7066	27	D	2157	Archaea	BlackFly33
0.48	14778	0	D	10239	Viruses	BlackFly33
89.07	10689593	10689593	U	0	unclassified	BlackFly34
8.04	965343	209510	D	2	Bacteria	BlackFly34
2.42	290930	0	D	2759	Eukaryota	BlackFly34
0.03	4162	5	D	2157	Archaea	BlackFly34
0.32	38555	0	D	10239	Viruses	BlackFly34
74.15	6255439	6255439	U	0	unclassified	BlackFly35
23.60	1990761	276599	D	2	Bacteria	BlackFly35
1.35	113528	3	D	2759	Eukaryota	BlackFly35
0.06	5285	19	D	2157	Archaea	BlackFly35
0.15	12571	1	D	10239	Viruses	BlackFly35
80.14	6007362	6007362	U	0	unclassified	BlackFly36
18.13	1358826	125266	D	2	Bacteria	BlackFly36
1.33	99763	0	D	2759	Eukaryota	BlackFly36
0.04	3342	1	D	2157	Archaea	BlackFly36
0.17	12684	3	D	10239	Viruses	BlackFly36
34.20	1276947	1276947	U	0	unclassified	BlackFly37
56.38	2105070	514016	D	2	Bacteria	BlackFly37
8.33	311021	1	D	2759	Eukaryota	BlackFly37
0.10	3718	4	D	2157	Archaea	BlackFly37
0.08	2802	2	D	10239	Viruses	BlackFly37
57.65	3058397	3058397	U	0	unclassified	BlackFly38
37.20	1973579	215522	D	2	Bacteria	BlackFly38
4.62	245247	0	D	2759	Eukaryota	BlackFly38
0.07	3806	1	D	2157	Archaea	BlackFly38
0.06	3241	0	D	10239	Viruses	BlackFly38
62.83	4316427	4316427	U	0	unclassified	BlackFly39
33.52	2302615	331318	D	2	Bacteria	BlackFly39
2.88	197616	0	D	2759	Eukaryota	BlackFly39
0.11	7620	4	D	2157	Archaea	BlackFly39
