rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A134_length_3517_cov_15.431395_BlackFly28	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A135_length_1364_cov_12.328671_BlackFly46	NA	NA	NA	NA	NA	NA	NA	Erysiphe necator associated mycovirus 1
NODE_A135_length_1894_cov_1.640616_BlackFly42	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A1356_length_1243_cov_3.203259_BlackFly23	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Martellivirales sp.
NODE_A137_length_1562_cov_7.391246_BlackFly35	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Colletotrichum associated negative-sense single-stranded RNA virus 2
NODE_A138_length_1197_cov_4.356250_BlackFly24	NA	NA	NA	NA	NA	NA	NA	Zeugodacus cucurbitae negev-like virus
NODE_A138_length_1531_cov_12.098349_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A1382_length_1255_cov_22.867572_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Martellivirales sp.
NODE_A1385_length_1255_cov_4.019525_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	NA	NA	Reoviridae sp.
NODE_A139_length_1526_cov_59.993099_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA
NODE_A139_length_1554_cov_6.857143_BlackFly35	NA	NA	NA	NA	NA	NA	NA	Magnaporthe oryzae polymycovirus 2
NODE_A1391_length_1253_cov_11.740646_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	NA	NA	Bercke-Baary Melophagus reo-like virus
NODE_A140_length_1187_cov_5.564865_BlackFly24	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Erysiphe necator associated negative-stranded RNA virus 18
NODE_A140_length_1440_cov_3.300073_BlackFly4	NA	NA	NA	NA	NA	NA	NA	Erysiphe necator associated mycovirus 1
NODE_A140_length_1521_cov_5.729917_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Colletotrichum partitivirus 1
