rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A94_length_1795_cov_12.685681_BlackFly38	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Penicillimonavirus	Penicillimonavirus epsilonplasmoparae
NODE_A94_length_3096_cov_54.536933_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A94_length_3108_cov_50.261960_BlackFly27	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A94_length_3559_cov_19.958932_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus pripenicillii
NODE_A945_length_1087_cov_2.289109_BlackFly36	Riboviria	NA	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3
NODE_A96_length_2335_cov_3.550930_BlackFly42	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A96_length_3065_cov_54.700469_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A96_length_3528_cov_330.606781_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus isariae
NODE_A968_length_1388_cov_9.518688_BlackFly3	NA	NA	NA	NA	NA	Anelloviridae	Betatorquevirus	TTV-like mini virus
NODE_A97_length_1768_cov_135.894737_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.
NODE_A97_length_1789_cov_3.480724_BlackFly4	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Corynespora cassiicola victorivirus 1
NODE_A97_length_3465_cov_43.626033_BlackFly31	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Tolypocladium cylindrosporum virus 2
NODE_A977_length_1385_cov_3.240826_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Sinhaliviridae	NA	Xiangshan sinhali-like virus
NODE_A98_length_1820_cov_128.504303_BlackFly35	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Raphanus sativus cryptic virus 1
NODE_A98_length_2775_cov_57.181616_BlackFly32	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A98_length_3457_cov_10.257692_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	NA	Plant associated virga-like virus 1
NODE_A99_length_1820_cov_7.458979_BlackFly35	Riboviria	NA	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3
NODE_A99_length_2733_cov_4.338479_BlackFly29	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Alphahypovirus	Alphahypovirus alternariae
NODE_A99_length_3433_cov_10.258939_BlackFly31	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Alternaria solani chrysovirus 1
NODE_A99_length_3445_cov_11.387470_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	NA	NA	NA
NODE_B1_length_44234_cov_25.924406_BlackFly53	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B1_length_46920_cov_19.564268_BlackFly48	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B1_length_59272_cov_41.788361_BlackFly27	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B10_length_3049_cov_5.392665_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_B10_length_6922_cov_41.829511_BlackFly21	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Sclerotimonavirus	Sclerotimonavirus alphaplasmoparae
NODE_B124_length_1742_cov_43.154354_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Magsaviricetes	Nodamuvirales	NA	NA	NA
NODE_B124_length_1787_cov_13.730409_BlackFly49	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Grapevine partitivirus
NODE_B13_length_6545_cov_11.361163_BlackFly28	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Penicillimonavirus	Penicillimonavirus epsilonplasmoparae
NODE_B18_length_5934_cov_5.686017_BlackFly28	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Penicillimonavirus	Penicillimonavirus epsilonplasmoparae
NODE_B19_length_3579_cov_8.033124_BlackFly48	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	NA
NODE_B2_length_38551_cov_56.090373_BlackFly52	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B2_length_42934_cov_282.662669_BlackFly27	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B2_length_43488_cov_19.941121_BlackFly4	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B2_length_48533_cov_37.418565_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
NODE_B24_length_3769_cov_47.402763_BlackFly53	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
