Contig1	Contig2	Correlation
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.916324257985455
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.8363095238095236
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
NODE_A43_length_3268_cov_15.922595_BlackFly10	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7708803964383635
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A4_length_40282_cov_838.904539_BlackFly29	NODE_A15_length_21299_cov_13.595938_BlackFly16	0.9999999999999999
NODE_A59_length_3073_cov_32.045060_BlackFly6	NODE_A15_length_21299_cov_13.595938_BlackFly16	0.7799999999999999
NODE_A209_length_2389_cov_8.317042_BlackFly16	NODE_A15_length_21299_cov_13.595938_BlackFly16	0.7799999999999999
NODE_A5_length_35827_cov_140.169203_BlackFly48	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.7423074889580903
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A7_length_21196_cov_25.651309_BlackFly49	1
NODE_A23_length_10487_cov_419.766667_BlackFly16	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A11_length_9789_cov_221.877471_BlackFly20	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A26_length_9752_cov_553.544393_BlackFly3	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.7413317781618438
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A30_length_4403_cov_108.992603_BlackFly20	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.7008255578851517
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.9036961141150639
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A7_length_21196_cov_25.651309_BlackFly49	1
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A7_length_21196_cov_25.651309_BlackFly49	0.8129251700680272
NODE_A5_length_35827_cov_140.169203_BlackFly48	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.8751899489873673
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.8481672919312798
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7708803964383635
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7664854858377945
NODE_A43_length_3268_cov_15.922595_BlackFly10	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.7074468085106383
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A3_length_20146_cov_28.125567_BlackFly59	0.8481672919312798
NODE_A2_length_35754_cov_122.006251_BlackFly49	NODE_A4_length_19843_cov_17.610493_BlackFly59	0.9999999999999999
NODE_A1_length_9828_cov_156.569377_BlackFly18	NODE_A4_length_19843_cov_17.610493_BlackFly59	0.9999999999999999
NODE_A5_length_35827_cov_140.169203_BlackFly48	NODE_A5_length_18741_cov_21.474764_BlackFly59	1
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A23_length_10487_cov_419.766667_BlackFly16	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A11_length_9789_cov_221.877471_BlackFly20	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A26_length_9752_cov_553.544393_BlackFly3	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.8100925873009824
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A43_length_3268_cov_15.922595_BlackFly10	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.8751899489873673
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A5_length_18741_cov_21.474764_BlackFly59	0.7423074889580903
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A5_length_17095_cov_13.733576_BlackFly32	1
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A23_length_10487_cov_419.766667_BlackFly16	NODE_A5_length_17095_cov_13.733576_BlackFly32	1
NODE_A11_length_9789_cov_221.877471_BlackFly20	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A26_length_9752_cov_553.544393_BlackFly3	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A5_length_17095_cov_13.733576_BlackFly32	1
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.7413317781618438
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A30_length_4403_cov_108.992603_BlackFly20	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.7008255578851517
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.9036961141150639
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A5_length_17095_cov_13.733576_BlackFly32	0.8129251700680272
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A8_length_16766_cov_13.145185_BlackFly49	0.9036961141150639
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A8_length_16766_cov_13.145185_BlackFly49	0.9036961141150639
