AJ309022
KX354202
U87832
AY884005
AF265566
MG676465
FJ444852
KY084481
FJ915122
MN714643
FJ436028
EF554577
AY751780
X07441
AF195000
FN563123
AY789137
AF098523
D00637
JX508291
KC840043
J04374
JX508290
MG323924
AY751778
J04375
Y16104
AY751779
MH784952
AY751777
AB186123
AJ271595
