RNA1:LC437024; RNA2:LC437025
RNA1:MN552388; RNA2:MN552389
RNA1: JF716350; RNA2: JF716351
RNA1:MN627274; RNA2:MN627275
RNA1: KP774592; RNA2: KP774593
RNA1:MH321499; RNA2:MH321500
RNA1:KT962972; RNA2:KT962973
RNA1:KX784490; RNA2:KX784491
RNA1:MN552386; RNA2:MN552387
dsRNA1: FJ899675; dsRNA2: FJ899676; dsRNA3: FJ899677
dsRNA1: FN178512; dsRNA2: FN178513; dsRNA3: FN178514; dsRNA4: FN178515
dsRNA3: KP782029; dsRNA2: KP782030; dsRNA1: KP782031
dsRNA4: AJ781163; dsRNA3: AJ781164; dsRNA2: AJ781165; dsRNA1: AJ781166
dsRNA1: AJ781397; dsRNA2: AJ781398; dsRNA3: AJ781399; dsRNA4: AJ781400
dsRNA1: MN625832; dsRNA2: MN625833; dsRNA3: MN625834; dsRNA4: MN625835
dsRNA1: KT581957; dsRNA2: KT581958; dsRNA3: KT581959
dsRNA2: GQ290645; dsRNA1: GQ290649; dsRNA3: HM013825; dsRNA4: HM013826
dsRNA1: AF297176; dsRNA2: AF297177; dsRNA3: AF297178; dsRNA4: AF297179
dsRNA1: KY489954; dsRNA2: KY489955; dsRNA3: KY489956; dsRNA4: KY489957
dsRNA1: KX898416; dsRNA2: KX898417; dsRNA3: KX898418; dsRNA4: KX898419
dsRNA1: MK279433; dsRNA2: MK279434; dsRNA3: MK279435; dsRNA4: MK279436
dsRNA1: KP900886; dsRNA2: KP900887; dsRNA3: KP900888; dsRNA4: KP900889
dsRNA1: AF296439; dsRNA2: AF296440; dsRNA3: AF296441; dsRNA4: AF296442
dsRNA1: MK214380; dsRNA2: MK214381; dsRNA3: MK214382; dsRNA4: MK214383
dsRNA1: MK279429; dsRNA2: MK279430; dsRNA3: MK279431; dsRNA4: MK279432
dsRNA1: MG887760; dsRNA2: MG887761; dsRNA3: MG887762; dsRNA4: MH271211
dsRNA1: KJ418374; dsRNA2: KJ418375; dsRNA3: KJ418376
dsRNA1: JQ045335; dsRNA2: JQ045336; dsRNA3: JQ045337
dsRNA1: MN661047; dsRNA2: MN661048; dsRNA3: MN661049; dsRNA4: MN661050
dsRNA1: MF176340; dsRNA2: MF176341; dsRNA3: MF176342; dsRNA4: MF176343
dsRNA1: MF176309; dsRNA2: MF176310; dsRNA3: MF176311; dsRNA4: MF176312
dsRNA1: HM004067; dsRNA2: HM004068; dsRNA3: HM004069; dsRNA4: HM004070
Seg2: MH931195; Seg1: MH931196; Seg3: MH931197
dsRNA1: LC350277; dsRNA2: LC350278; dsRNA3: LC350279; dsRNA4: LC350280; dsRNA5: LC350281
Seg1: MF045841; Seg2: MF045842; Seg3: MF045843; Seg4: MF045844
dsRNA1: KF688736; dsRNA2: KF688737; dsRNA3: KF688738; dsRNA4: KF688739
dsRNA1: MG425969; dsRNA2: MG425970; dsRNA3: MG425971; dsRNA4: MG425972; dsRNA5: MG425973; dsRNA6: MG425974; dsRNA7: MG425975
Seg2: MK584813; Seg3: MK584814; Seg4: MK584815
